Z,Element,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Lg1,Ma1,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N23,N4,N5,N6,N7,O1,O23,O45
1.00,H,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,13.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.00,He,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,22.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.00,Li,54.30,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,55.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00,Be,108.50,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,111.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.00,B,183.30,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,188.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.00,C,277.00,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,284.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.00,N,392.40,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,401.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.00,O,524.90,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,532.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.00,Fr,676.80,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,685.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.00,Ne,848.60,848.60,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,867.00,45.00,18.00,18.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.00,N,1040.98,1040.98,1071.10,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,1072.00,63.00,31.00,31.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.00,Mg,1253.60,1253.60,1302.20,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,1305.00,89.00,51.00,51.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.00,Al,1486.70,1486.27,1557.45,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,1560.00,118.00,73.00,73.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.00,Si,1739.98,1739.38,1835.94,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,1839.00,149.00,99.00,99.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.00,P,2013.70,2012.70,2139.10,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,2146.00,189.00,132.00,132.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.00,S,2307.84,2306.64,2464.04,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,2472.00,229.00,165.00,165.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.00,Cl,2622.39,2620.78,2815.60,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,2822.00,270.00,200.00,200.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.00,Ar,2957.70,2955.63,3190.50,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,3203.00,320.00,245.00,245.00,25.00,12.00,12.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.00,K,3313.80,3311.10,3589.60,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,3607.00,377.00,296.00,294.00,34.00,18.00,18.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.00,Ca,3691.68,3688.09,4012.70,341.30,341.30,344.90,NaN ,NaN ,NaN ,4038.00,438.00,350.00,346.00,44.00,25.00,25.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.00,Sc,4090.60,4086.10,4460.50,395.40,395.40,399.60,NaN ,NaN ,NaN ,4493.00,500.00,407.00,402.00,54.00,32.00,32.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
